KDLogo2,By Strait-Laced Games

KinkyDungeonCredits,Credits
KinkyDungeonPatrons,Patrons
KinkyDungeonDeviantart,News and Updates
KinkyDungeonPatreon,Support @ Patreon
KinkyDungeonPatronsList,"Thank you to the following awesome people for supporting me at patreon.com/ada18980"
KinkyDungeonBack,Back
KinkyDungeonNext,Next
KinkyDungeonCreditsList0,"Music: kocaeli, Darkstar Studios|Bound enemy graphics: Song|RU Translation: Osiris|CN Translation: Alexthymia, Mitki, Timeline|KR, JP Translation: Phantasm|Code Contributors: Ellie, Demopans, Aelie|Art: Kjus, Quakehoof, Lumpychan, Kertasu, Koirin, Lightning Rook, Daikinbakuju, Sigma Overlord, dask3|Plasmadragon, GoldieKitsune, SMoonlightM, PureWind, Wyatt Wintersoul|Potion drink - Jamius|Click - StrikeWhistler - Modified|StoneDoor_Close - AudioTorpedo - Modified|Footstep - Fission9 - Modified|FireSpell - Julien Matthey|LightSwing - qubodup|Heavy Swing - orangesheepdog|Miss - Brsjak - Modified|Clap - DWSD - Modified|'Door, Front, Closing, A.wav' by InspectorJ (www.jshaw.co.uk) of Freesound.org|'Door, Front, Opening, A.wav' by InspectorJ (www.jshaw.co.uk) of Freesound.org|Chest Open - spookymodem - Modified|Unlock - BeezleFM|Unbuckle - danhelbling|Scissors - qubodup|Rummage - adcbicycle|Fairy Dust - jacksonacademyashmore|Metal Smash - gristi"
KinkyDungeonCreditsList1,"Door locked.wav - mitchanary - Modified|Coins.wav - Saviraz|Opening the sarcophagus - Breviceps - Modified|Knife Sharpen - Anthousai|Paper Sounds - Bash360 - Modified|Freeze Powerup - JustInvoke - Modified|puddle - patchytherat - Modified|grab 3 - ihitokage - Modified|Gunfire - qubodup - Modified|Brass Falling - movingplaid - Modified|Energy Weapon Laser - rkkaleikau - Modified|Electricity - deleted_user_7146007 - Modified|Dragging a chain out of a sink - Hitrison - Modified|Hihat 7 - TheCoolManARM2 - Modified|Ambientsoundapp - Lightning Storm.wav - Modified|kev_durr - Arc Welding.wav - Modified|32cheeseman32 - SwordDraw01|AlaskaRobotics - duct tape unroll 3, duct tape unroll 1|||ARTISTS AND INSPIRATION|Hotel01 - https://www.pixiv.net/en/users/5944252 - Draws awesome wolfgirls|spark utamaro - For the idea of sentient vibrators"

Language,Language
EN,English
CN,Chinese
KR,Korean
JP,Japanese
ES,Spanish
FR,French
RU,Russian
KDMods,Mods
KDModsLoaded,Mods Loaded.

RestartNeededEN,"Restart required!"
RestartNeededCN,"需要重启！"
RestartNeededKR,"재시작 필요！"
RestartNeededJP,"Restart please!"
RestartNeededES,"¡Reinicio!"
RestartNeededFR,"Rechargement requis!"
RestartNeededRU,"Restart required!"

KDVersion,"Version"
KinkyDungeon,"Kinky Dungeon"
KDVersionStr,"5.3.47"
KDLogo2,"By Ada18980"
Intro,"You are an adventurer descending into an ancient underground city of magic."
Intro2,"Beneath its depths lies the Mistress' Staff, an artifact of untold power."
Intro3,"Will you prevail against forces unknown, or succumb to its dark secrets?"
Intro4,"(This game does not contain spiders)"
Intro4BC,""
KDToggleTabGFX,GFX
KDToggleTabClothes,Character
KDToggleTabMain,Main
KDToggleTabUI,UI
KDToggleTabControls,Controls
KDToggleTabKeybindings,Keybindings

KDToggle,Auto loot all from chests

KDToggleApplyPaletteRestraint,Apply palettes to Restraints
KDToggleApplyPaletteTransform,Apply palettes to transforms

KDToggleIgnoreApplyCharPalette,Don't use character palette
KDToggleAlwaysApplyCharPalette,Always use character palette
KDToggleDefaultApplyCharPalette,Use character palette for default outfit

KDToggleBackgrounds,Show Background Art

KDToggleSoundOffWhenMin,Mute when Minimized
KDToggleBackgrounds,Show Background Art
KDToggleRawDP,Show DP instead of %
KDToggleOnlySelfQuickInv,Quick Inv only equips to self
KDToggleOverrideOutfit,Override Outfit when Loading Save
KDToggleSaveOutfit,Save Outfits within Save Files
KDToggleShowNPCSprites,Show free characters on map
KDToggleShowJailedNPCSprites,Detailed jailed NPCs (experimental)
KDToggleStruggleBars,Show Struggle Bars
KDToggleAllowSusMods,Allow Suspicious Mods
KDToggleAutoLoadMods,Auto Load Mods (offline only)
KDToggleSpellBook,Classic Inventory Background
KDToggleSkipIntro,Skip Intro
KDToggleNoForceGreet,No Forced Greetings
KDToggleShowZoom,Show Zoom Buttons
KDToggleShowRestraintOnHover,Show Restraint Info on Escape Hover
KDToggleForceWarnings,Always Show Warnings
KDToggleEnableMinimap,Always Show Minimap
KDToggleSound,Enable Sound
KDToggleDrool,Drool/Tears
KDToggleDrawArmor,Draw Armor
KDToggleMusic,Enable Music
KDToggleAsyncRendering,Async Rendering (beta)
KDToggleBloom,Bloom & Glow
KDToggleTransparentUI,Transparent UI
KDToggleTurnCounter,Turn Counter
KDToggleStunFlash,Flash Screen on Stun
KDToggleParticlesFX,Map Particles
KDToggleArousalHearts,Distraction Particles
KDToggleVibeHearts,Vibration Particles
KDToggleGagParticles,Gag Particle FX
KDToggleShowNPCStatuses,Show NPC Status
KDToggleShowSpellRange,Show Spell Range
KDToggleFancyWalls,Trim Edge Walls
KDToggleFancyShadows,Fog Shader
KDToggleLightmapFilter,Light Shader
